"transactionid","customerid","date","productid","price","qty","totalamount","storeid","age","gender","income","maritalstatus","productname","price-2","storename","latitude","longitude"
"TR11369                                           ","328                                               ","2022-01-01","P3                                                ",7500,4,30000,"12                                                ",36,"Female              ",10.53,"Married                                           ","Crackers                                          ",7500,"Prestasi Utama                                    ",-2.990934,104.756554
"TR16356                                           ","165                                               ","2022-01-01","P9                                                ",10000,7,70000,"1                                                 ",44,"Male                ",14.58,"Married                                           ","Yoghurt                                           ",10000,"Prima Tendean                                     ",-6.2,106.816666
"TR1984                                            ","183                                               ","2022-01-01","P1                                                ",8800,4,35200,"4                                                 ",27,"Male                ",0.18,"Single                                            ","Choco Bar                                         ",8800,"Gita Ginara                                       ",-6.966667,110.416664
"TR35256                                           ","160                                               ","2022-01-01","P1                                                ",8800,7,61600,"4                                                 ",48,"Male                ",12.57,"Married                                           ","Choco Bar                                         ",8800,"Gita Ginara                                       ",-6.966667,110.416664
"TR41231                                           ","386                                               ","2022-01-01","P9                                                ",10000,1,10000,"4                                                 ",33,"Female              ",6.95,"Married                                           ","Yoghurt                                           ",10000,"Gita Ginara                                       ",-6.966667,110.416664
"TR51675                                           ","283                                               ","2022-01-01","P10                                               ",15000,1,15000,"5                                                 ",19,"Male                ",0,"Single                                            ","Cheese Stick                                      ",15000,"Bonafid                                           ",-7.250445,112.768845
"TR54287                                           ","51                                                ","2022-01-01","P8                                                ",16000,2,32000,"2                                                 ",36,"Female              ",7.95,"Married                                           ","Oat                                               ",16000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR67455                                           ","49                                                ","2022-01-01","P5                                                ",4200,3,12600,"13                                                ",44,"Male                ",13.48,"Married                                           ","Thai Tea                                          ",4200,"Buana                                             ",-1.26916,116.825264
"TR73041                                           ","222                                               ","2022-01-01","P9                                                ",10000,6,60000,"4                                                 ",45,"Female              ",15.3,"Married                                           ","Yoghurt                                           ",10000,"Gita Ginara                                       ",-6.966667,110.416664
"TR7596                                            ","270                                               ","2022-01-01","P7                                                ",9400,2,18800,"14                                                ",49,"Male                ",8.81,"Married                                           ","Coffee Candy                                      ",9400,"Priangan                                          ",-5.45,105.26667
"TR76340                                           ","287                                               ","2022-01-01","P4                                                ",12000,4,48000,"12                                                ",36,"Female              ",3.7,"Single                                            ","Potato Chip                                       ",12000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR97336                                           ","233                                               ","2022-01-01","P7                                                ",9400,2,18800,"12                                                ",43,"Male                ",5.69,"Married                                           ","Coffee Candy                                      ",9400,"Prestasi Utama                                    ",-2.990934,104.756554
"TR99839                                           ","123                                               ","2022-01-01","P2                                                ",3200,6,19200,"1                                                 ",34,"Female              ",4.36,"Married                                           ","Ginger Candy                                      ",3200,"Prima Tendean                                     ",-6.2,106.816666
"TR14355                                           ","203                                               ","2022-01-02","P3                                                ",7500,4,30000,"10                                                ",53,"Female              ",17.2,"Married                                           ","Crackers                                          ",7500,"Harapan Baru                                      ",3.597031,98.678513
"TR16534                                           ","421                                               ","2022-01-02","P3                                                ",7500,2,15000,"14                                                ",35,"Female              ",9.1,"Married                                           ","Crackers                                          ",7500,"Priangan                                          ",-5.45,105.26667
"TR2045                                            ","32                                                ","2022-01-02","P7                                                ",9400,4,37600,"5                                                 ",34,"Female              ",10.96,"Married                                           ","Coffee Candy                                      ",9400,"Bonafid                                           ",-7.250445,112.768845
"TR20925                                           ","159                                               ","2022-01-02","P10                                               ",15000,2,30000,"13                                                ",53,"Male                ",13.65,"Married                                           ","Cheese Stick                                      ",15000,"Buana                                             ",-1.26916,116.825264
"TR26678                                           ","321                                               ","2022-01-02","P6                                                ",18000,3,54000,"12                                                ",45,"Female              ",8.3,"Married                                           ","Cashew                                            ",18000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR29436                                           ","335                                               ","2022-01-02","P6                                                ",18000,3,54000,"3                                                 ",29,"Male                ",4.74,"Single                                            ","Cashew                                            ",18000,"Prima Kota                                        ",-7.797068,110.370529
"TR30993                                           ","14                                                ","2022-01-02","P10                                               ",15000,2,30000,"6                                                 ",58,"Male                ",10.18,"Married                                           ","Cheese Stick                                      ",15000,"Lingga                                            ",-5.135399,119.42379
"TR33449                                           ","18                                                ","2022-01-02","P6                                                ",18000,2,36000,"9                                                 ",47,"Female              ",13.6,"Married                                           ","Cashew                                            ",18000,"Lingga                                            ",-3.654703,128.190643
"TR34291                                           ","333                                               ","2022-01-02","P7                                                ",9400,2,18800,"7                                                 ",47,"Female              ",17.99,"Married                                           ","Coffee Candy                                      ",9400,"Buana Indah                                       ",3.316694,114.590111
"TR3533                                            ","24                                                ","2022-01-02","P6                                                ",18000,3,54000,"10                                                ",37,"Female              ",9.53,"Married                                           ","Cashew                                            ",18000,"Harapan Baru                                      ",3.597031,98.678513
"TR46701                                           ","48                                                ","2022-01-02","P2                                                ",3200,6,19200,"9                                                 ",32,"Female              ",10.62,"Married                                           ","Ginger Candy                                      ",3200,"Lingga                                            ",-3.654703,128.190643
"TR48742                                           ","87                                                ","2022-01-02","P5                                                ",4200,2,8400,"3                                                 ",44,"Male                ",9.57,"Married                                           ","Thai Tea                                          ",4200,"Prima Kota                                        ",-7.797068,110.370529
"TR63499                                           ","118                                               ","2022-01-02","P1                                                ",8800,7,61600,"14                                                ",20,"Male                ",3.28,"Single                                            ","Choco Bar                                         ",8800,"Priangan                                          ",-5.45,105.26667
"TR66576                                           ","250                                               ","2022-01-02","P7                                                ",9400,5,47000,"5                                                 ",30,"Male                ",3.96,"Married                                           ","Coffee Candy                                      ",9400,"Bonafid                                           ",-7.250445,112.768845
"TR7826                                            ","181                                               ","2022-01-02","P1                                                ",8800,10,88000,"12                                                ",33,"Male                ",9.94,"Married                                           ","Choco Bar                                         ",8800,"Prestasi Utama                                    ",-2.990934,104.756554
