,TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID
0,TR11369,328,2022-01-01,P3,7500,4,30000,12
1,TR16356,165,2022-01-01,P9,10000,7,70000,1
2,TR1984,183,2022-01-01,P1,8800,4,35200,4
3,TR35256,160,2022-01-01,P1,8800,7,61600,4
4,TR41231,386,2022-01-01,P9,10000,1,10000,4
5,TR51675,283,2022-01-01,P10,15000,1,15000,5
6,TR54287,51,2022-01-01,P8,16000,2,32000,2
7,TR67455,49,2022-01-01,P5,4200,3,12600,13
8,TR73041,222,2022-01-01,P9,10000,6,60000,4
9,TR7596,270,2022-01-01,P7,9400,2,18800,14
10,TR76340,287,2022-01-01,P4,12000,4,48000,12
11,TR97336,233,2022-01-01,P7,9400,2,18800,12
12,TR99839,123,2022-01-01,P2,3200,6,19200,1
13,TR14355,203,2022-02-01,P3,7500,4,30000,10
14,TR16534,421,2022-02-01,P3,7500,2,15000,14
15,TR2045,32,2022-02-01,P7,9400,4,37600,5
16,TR20925,159,2022-02-01,P10,15000,2,30000,13
17,TR26678,321,2022-02-01,P6,18000,3,54000,12
18,TR29436,335,2022-02-01,P6,18000,3,54000,3
19,TR30993,14,2022-02-01,P10,15000,2,30000,6
20,TR33449,18,2022-02-01,P6,18000,2,36000,9
21,TR34291,333,2022-02-01,P7,9400,2,18800,7
22,TR3533,24,2022-02-01,P6,18000,3,54000,10
23,TR46701,48,2022-02-01,P2,3200,6,19200,9
24,TR48742,87,2022-02-01,P5,4200,2,8400,3
25,TR63499,118,2022-02-01,P1,8800,7,61600,14
26,TR66576,250,2022-02-01,P7,9400,5,47000,5
27,TR7826,181,2022-02-01,P1,8800,10,88000,12
28,TR93759,34,2022-02-01,P10,15000,2,30000,4
29,TR10346,322,2022-03-01,P3,7500,4,30000,4
30,TR13,285,2022-03-01,P8,16000,1,16000,6
31,TR15573,91,2022-03-01,P2,3200,6,19200,13
32,TR21783,78,2022-03-01,P5,4200,5,21000,10
33,TR25759,218,2022-03-01,P5,4200,4,16800,14
34,TR26782,237,2022-03-01,P10,15000,4,60000,7
35,TR27698,178,2022-03-01,P6,18000,3,54000,8
36,TR31585,144,2022-03-01,P2,3200,3,9600,6
37,TR36491,117,2022-03-01,P3,7500,4,30000,12
38,TR36846,159,2022-03-01,P9,10000,2,20000,7
39,TR40890,224,2022-03-01,P6,18000,3,54000,14
40,TR45933,406,2022-03-01,P4,12000,2,24000,8
41,TR45980,7,2022-03-01,P3,7500,3,22500,7
42,TR46171,21,2022-03-01,P10,15000,3,45000,10
43,TR54686,106,2022-03-01,P2,3200,5,16000,10
44,TR74189,202,2022-03-01,P7,9400,3,28200,10
45,TR86483,45,2022-03-01,P8,16000,3,48000,12
46,TR9341,202,2022-03-01,P7,9400,5,47000,14
47,TR14593,311,2022-04-01,P6,18000,4,72000,9
48,TR14970,136,2022-04-01,P10,15000,1,15000,6
49,TR2102,23,2022-04-01,P5,4200,4,16800,14
50,TR22313,194,2022-04-01,P2,3200,4,12800,2
51,TR37381,243,2022-04-01,P10,15000,2,30000,7
52,TR41140,78,2022-04-01,P9,10000,2,20000,14
53,TR45300,351,2022-04-01,P6,18000,4,72000,11
54,TR48461,117,2022-04-01,P5,4200,2,8400,1
55,TR49210,189,2022-04-01,P4,12000,1,12000,7
56,TR50516,304,2022-04-01,P10,15000,2,30000,1
57,TR51256,433,2022-04-01,P9,10000,1,10000,4
58,TR57427,157,2022-04-01,P5,4200,3,12600,5
59,TR64821,117,2022-04-01,P3,7500,1,7500,2
60,TR68280,36,2022-04-01,P8,16000,1,16000,12
61,TR86686,403,2022-04-01,P5,4200,2,8400,1
62,TR88044,62,2022-04-01,P5,4200,5,21000,1
63,TR90452,440,2022-04-01,P2,3200,5,16000,11
64,TR98969,355,2022-04-01,P8,16000,1,16000,4
65,TR10602,22,2022-05-01,P5,4200,3,12600,11
66,TR24114,182,2022-05-01,P8,16000,1,16000,4
67,TR35280,167,2022-05-01,P9,10000,1,10000,2
68,TR36079,297,2022-05-01,P5,4200,4,16800,11
69,TR43714,416,2022-05-01,P7,9400,2,18800,13
70,TR46041,7,2022-05-01,P9,10000,5,50000,8
71,TR60242,304,2022-05-01,P4,12000,1,12000,13
72,TR61100,278,2022-05-01,P8,16000,2,32000,2
73,TR61437,123,2022-05-01,P1,8800,4,35200,6
74,TR84132,22,2022-05-01,P9,10000,7,70000,14
75,TR11638,67,2022-06-01,P2,3200,5,16000,12
76,TR20374,282,2022-06-01,P2,3200,5,16000,3
77,TR23183,84,2022-06-01,P4,12000,4,48000,9
78,TR24126,30,2022-06-01,P2,3200,3,9600,3
79,TR32850,306,2022-06-01,P2,3200,3,9600,6
80,TR40523,176,2022-06-01,P3,7500,4,30000,2
81,TR41572,366,2022-06-01,P6,18000,3,54000,3
82,TR45142,438,2022-06-01,P10,15000,4,60000,10
83,TR73860,71,2022-06-01,P4,12000,4,48000,1
84,TR74469,340,2022-06-01,P5,4200,4,16800,4
85,TR77963,116,2022-06-01,P3,7500,2,15000,7
86,TR81478,20,2022-06-01,P5,4200,4,16800,8
87,TR83042,102,2022-06-01,P2,3200,6,19200,10
88,TR87914,161,2022-06-01,P5,4200,4,16800,9
89,TR92298,266,2022-06-01,P2,3200,6,19200,2
90,TR95272,84,2022-06-01,P7,9400,3,28200,8
91,TR96723,240,2022-06-01,P5,4200,4,16800,14
92,TR97562,264,2022-06-01,P5,4200,3,12600,14
93,TR22660,43,2022-07-01,P5,4200,3,12600,13
94,TR23169,189,2022-07-01,P1,8800,7,61600,7
95,TR28506,230,2022-07-01,P9,10000,3,30000,12
96,TR31932,70,2022-07-01,P9,10000,4,40000,7
97,TR38873,311,2022-07-01,P2,3200,6,19200,5
98,TR43744,233,2022-07-01,P2,3200,6,19200,8
99,TR60853,74,2022-07-01,P2,3200,3,9600,6
100,TR73336,399,2022-07-01,P8,16000,3,48000,10
101,TR74427,43,2022-07-01,P8,16000,2,32000,3
102,TR23772,156,2022-08-01,P10,15000,1,15000,1
103,TR36287,157,2022-08-01,P7,9400,2,18800,2
104,TR40790,134,2022-08-01,P7,9400,4,37600,8
105,TR4331,335,2022-08-01,P3,7500,3,22500,12
106,TR43444,240,2022-08-01,P4,12000,5,60000,2
107,TR55617,9,2022-08-01,P7,9400,5,47000,9
108,TR57273,344,2022-08-01,P4,12000,1,12000,10
109,TR648,164,2022-08-01,P5,4200,3,12600,5
110,TR65337,12,2022-08-01,P5,4200,3,12600,3
111,TR6602,211,2022-08-01,P8,16000,2,32000,5
112,TR67501,85,2022-08-01,P4,12000,3,36000,13
113,TR70157,415,2022-08-01,P8,16000,2,32000,4
114,TR84962,55,2022-08-01,P3,7500,5,37500,7
115,TR89167,69,2022-08-01,P1,8800,5,44000,10
116,TR90471,162,2022-08-01,P3,7500,3,22500,3
117,TR14091,307,2022-09-01,P1,8800,5,44000,11
118,TR28270,140,2022-09-01,P2,3200,7,22400,3
119,TR48974,170,2022-09-01,P10,15000,1,15000,9
120,TR52493,354,2022-09-01,P8,16000,1,16000,11
121,TR52613,135,2022-09-01,P5,4200,3,12600,9
122,TR53447,137,2022-09-01,P2,3200,4,12800,5
123,TR5513,62,2022-09-01,P4,12000,4,48000,2
124,TR76965,241,2022-09-01,P1,8800,8,70400,3
125,TR80326,269,2022-09-01,P8,16000,1,16000,2
126,TR858,340,2022-09-01,P8,16000,2,32000,14
127,TR8878,415,2022-09-01,P5,4200,3,12600,9
128,TR89449,178,2022-09-01,P5,4200,2,8400,11
129,TR91332,385,2022-09-01,P9,10000,1,10000,10
130,TR91669,241,2022-09-01,P5,4200,5,21000,2
131,TR3291,13,2022-10-01,P4,12000,5,60000,14
132,TR45059,17,2022-10-01,P1,8800,6,52800,9
133,TR47932,122,2022-10-01,P7,9400,3,28200,7
134,TR57616,446,2022-10-01,P1,8800,7,61600,2
135,TR59952,321,2022-10-01,P4,12000,5,60000,14
136,TR6445,181,2022-10-01,P3,7500,4,30000,12
137,TR69307,23,2022-10-01,P8,16000,1,16000,1
138,TR69902,108,2022-10-01,P7,9400,2,18800,9
139,TR7250,49,2022-10-01,P1,8800,7,61600,11
140,TR77811,329,2022-10-01,P10,15000,2,30000,4
141,TR80374,223,2022-10-01,P8,16000,3,48000,10
142,TR82224,246,2022-10-01,P2,3200,3,9600,12
143,TR8236,249,2022-10-01,P2,3200,6,19200,7
144,TR8369,64,2022-10-01,P3,7500,1,7500,4
145,TR86436,26,2022-10-01,P10,15000,1,15000,14
146,TR88217,442,2022-10-01,P9,10000,1,10000,8
147,TR95284,229,2022-10-01,P2,3200,3,9600,2
148,TR18566,8,2022-11-01,P3,7500,3,22500,8
149,TR23232,168,2022-11-01,P2,3200,6,19200,1
150,TR36166,256,2022-11-01,P10,15000,5,75000,12
151,TR36685,196,2022-11-01,P2,3200,6,19200,2
152,TR40960,394,2022-11-01,P6,18000,1,18000,4
153,TR47732,329,2022-11-01,P2,3200,6,19200,4
154,TR57918,72,2022-11-01,P4,12000,5,60000,6
155,TR59286,278,2022-11-01,P7,9400,6,56400,8
156,TR63021,393,2022-11-01,P8,16000,1,16000,12
157,TR64748,232,2022-11-01,P5,4200,4,16800,9
158,TR6627,339,2022-11-01,P9,10000,6,60000,10
159,TR71791,295,2022-11-01,P7,9400,5,47000,3
160,TR75052,151,2022-11-01,P3,7500,1,7500,2
161,TR76046,16,2022-11-01,P8,16000,2,32000,1
162,TR84499,312,2022-11-01,P3,7500,3,22500,2
163,TR85582,145,2022-11-01,P5,4200,4,16800,14
164,TR93692,244,2022-11-01,P5,4200,5,21000,10
165,TR94450,213,2022-11-01,P3,7500,6,45000,4
166,TR24515,347,2022-12-01,P10,15000,2,30000,7
